ANN,trial,N1,N2,P1,P2,Succ.,,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc,,Size
5,4,5,9,0,0,1,,4,S,0,S,16,0.019454,0.758801,0.014762,,0
5,5,4,1,0,0,1,,3,S,0,S,16,0.786703,0,0,,0
5,6,8,1,0,0,1,,7,L,0,S,14,0.775184,0.000356,0.000276,,0
5,7,7,2,0,0,1,,5,S,0,S,15,0.783414,0,0,,0
5,8,1,5,0,0,1,,4,S,0,S,15,0.007681,0.774831,0.005951,,0
5,9,8,5,0,0,1,,3,S,0,S,19,0.778375,0.008624,0.006713,,0
5,10,7,8,0,0,1,,1,S,0,S,25,0.020236,0.770395,0.015589,,0
5,11,8,4,0,0,1,,4,S,0,S,19,0.767778,0.014922,0.011457,,0
5,12,2,8,0,0,1,,6,S,0,S,13,0.005897,0.765968,0.004517,,0
5,13,9,3,0,0,1,,6,S,0,S,16,0.793536,0,0,,0
5,14,7,3,0,0,1,,4,S,0,S,14,0.757845,0.015546,0.011781,,0
5,15,9,1,0,0,1,,8,L,0,S,14,0.781591,0,0,,0
5,16,8,6,0,0,1,,2,S,0,S,17,0.760318,0.020482,0.015573,,0
5,17,9,6,0,0,1,,3,S,0,S,17,0.767757,0.018188,0.013964,,0
5,18,8,2,0,0,1,,6,S,0,S,17,0.793906,0,0,,0
5,19,4,6,0,0,1,,2,S,0,S,21,0.021786,0.76639,0.016696,,0
5,20,3,7,0,0,1,,4,S,0,S,18,0,0.790724,0,,0
5,21,6,8,0,0,1,,2,S,0,S,17,0.027458,0.755688,0.02075,,0
5,22,1,9,0,0,1,,8,L,0,S,13,0.015506,0.751481,0.011652,,0
5,23,5,7,0,0,1,,2,S,0,S,21,0.010775,0.778134,0.008385,,0
5,24,3,4,0,0,1,,1,S,0,S,20,0.010379,0.778846,0.008083,,0
5,25,9,7,0,0,1,,2,S,0,S,23,0.763375,0.025327,0.019334,,0
5,26,1,2,0,0,1,,1,S,0,S,16,0.020489,0.761401,0.015601,,S
5,27,1,4,0,0,1,,3,S,0,S,15,0.008695,0.771114,0.006705,,0
5,28,2,1,0,0,1,,1,S,0,S,22,0.750828,0.035969,0.027006,,S
5,29,7,1,0,0,1,,6,S,0,S,13,0.766572,0.003903,0.002992,,0
5,30,6,7,0,0,0,,1,S,0,S,22,0.778467,0.012346,0.009611,,0
5,31,6,9,0,0,1,,3,S,0,S,18,0.016903,0.768272,0.012986,,0
5,32,2,3,0,0,1,,1,S,0,S,17,0.008571,0.779322,0.006679,,0
5,33,3,8,0,0,1,,5,S,0,S,15,0.002848,0.780864,0.002224,,0
5,34,1,8,0,0,1,,7,L,0,S,13,0.009325,0.762019,0.007105,,0
5,35,4,9,0,0,1,,5,S,0,S,15,0.000821,0.779155,0.00064,,0
5,36,2,4,0,0,1,,2,S,0,S,15,0.002284,0.778737,0.001778,,0
5,37,9,8,0,0,0,,1,S,0,S,17,0.016534,0.770036,0.012732,,L
5,38,3,6,0,0,1,,3,S,0,S,27,0.009066,0.786185,0.007127,,0
